Date,Open,High,Low,Close,Adj Close,Volume
2019-11-29,23.680000,24.260000,23.680000,24.049999,23.680557,51700
2019-12-02,24.080000,24.420000,23.889999,24.350000,23.975950,78600
2019-12-03,24.650000,25.690001,24.530001,25.400000,25.009819,218900
2019-12-04,25.680000,26.889999,25.530001,26.490000,26.083076,220600
2019-12-05,26.639999,26.660000,25.889999,26.330000,25.925535,135400
2019-12-06,26.500000,26.709999,25.940001,26.059999,25.659681,227900
2019-12-09,26.150000,27.139999,26.150000,27.000000,26.585241,152800
2019-12-10,27.049999,27.530001,26.540001,27.080000,26.664013,117000
2019-12-11,27.200001,27.650000,26.980000,27.480000,27.057869,96200
2019-12-12,27.410000,27.799999,27.340000,27.620001,27.195721,81600
2019-12-13,28.070000,28.280001,27.709999,28.260000,27.825888,99400
2019-12-16,28.389999,28.500000,27.500000,27.719999,27.294182,139700
2019-12-17,27.650000,27.670000,26.910000,27.330000,26.910173,251300
2019-12-18,27.520000,27.520000,26.850000,27.200001,26.782171,84500
2019-12-19,27.230000,27.230000,26.549999,26.740000,26.329237,82600
2019-12-20,26.670000,26.790001,26.209999,26.360001,25.955072,172600
2019-12-23,26.309999,26.389999,25.900000,26.219999,25.817223,78200
2019-12-24,26.230000,26.299999,26.070000,26.290001,25.886150,34800
2019-12-26,26.309999,26.309999,25.660000,25.780001,25.383984,44100
2019-12-27,25.790001,25.850000,25.570000,25.680000,25.285521,62500
2019-12-30,25.700001,25.850000,25.270000,25.730000,25.334751,68300
2019-12-31,25.690001,25.920000,25.520000,25.600000,25.206749,59700
2020-01-02,25.620001,25.620001,25.000000,25.270000,24.881821,74300
2020-01-03,25.059999,25.510000,25.000000,25.430000,25.039360,81800
2020-01-06,25.340000,25.730000,25.160000,25.690001,25.295368,77600
2020-01-07,25.709999,26.040001,25.270000,25.320000,24.931049,94400
2020-01-08,25.200001,25.320000,25.020000,25.280001,24.891665,66000
2020-01-09,25.209999,25.480000,25.049999,25.080000,24.694738,54700
2020-01-10,25.059999,25.219999,24.700001,25.200001,24.812893,60800
2020-01-13,25.150000,25.250000,25.000000,25.170000,24.783356,39100
2020-01-14,25.120001,25.360001,24.879999,25.309999,24.921202,47300
2020-01-15,25.240000,25.629999,25.230000,25.620001,25.226442,38500
2020-01-16,25.660000,26.110001,25.650000,25.740000,25.344597,105900
2020-01-17,25.990000,25.990000,25.410000,25.690001,25.295368,84000
2020-01-21,25.500000,25.629999,25.299999,25.480000,25.088593,187300
2020-01-22,25.520000,25.700001,24.900000,25.020000,24.635660,49300
2020-01-23,24.940001,24.940001,24.129999,24.450001,24.074413,69400
2020-01-24,24.610001,24.770000,24.230000,24.490000,24.113800,62700
2020-01-27,24.209999,24.650000,24.040001,24.420000,24.044876,40900
2020-01-28,24.500000,24.600000,24.330000,24.459999,24.084259,35200
2020-01-29,24.450001,24.459999,24.219999,24.270000,23.897181,39000
2020-01-30,24.090000,24.270000,23.820000,24.150000,23.779022,103200
2020-01-31,24.090000,24.110001,23.500000,23.670000,23.306396,86400
2020-02-03,23.809999,24.059999,23.760000,23.889999,23.523014,59000
2020-02-04,24.129999,24.530001,23.889999,24.360001,23.985796,89500
2020-02-05,24.570000,24.670000,23.830000,24.370001,23.995644,115700
2020-02-06,24.549999,24.660000,24.299999,24.549999,24.172876,51500
2020-02-07,24.400000,24.430000,23.740000,23.910000,23.614851,45500
2020-02-10,23.850000,24.559999,23.850000,24.530001,24.227200,58800
2020-02-11,24.559999,24.900000,24.430000,24.730000,24.424730,77800
2020-02-12,24.770000,24.770000,24.309999,24.410000,24.108679,52000
2020-02-13,24.520000,24.760000,24.379999,24.750000,24.444481,38500
2020-02-14,24.820000,24.820000,24.450001,24.549999,24.246952,63700
2020-02-18,24.549999,24.820000,24.410000,24.420000,24.118557,44300
2020-02-19,24.459999,25.459999,24.459999,25.000000,24.691397,153300
2020-02-20,24.500000,25.000000,21.250000,22.200001,21.925961,359700
2020-02-21,21.940001,22.020000,21.330000,21.900000,21.629663,182700
2020-02-24,21.450001,21.559999,20.370001,20.530001,20.276577,137500
2020-02-25,20.500000,20.700001,20.190001,20.309999,20.059290,204500
